id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
24175300,BED COMFORTABLE COUPLE CON VENTILADOR@ SANTA JUSTA,89217668,Kiven,San Pablo - Santa Justa,Huerta de Santa Teresa,37.38879,-5.96682,Private room,25,2,36,2019-08-12,2.03,6,57
24182384,Alquiler de piso en la nueva negrilla,182266174,Cristobal,Cerro - Amate,Palmete,37.37521,-5.94434,Entire home/apt,70,1,4,2019-03-31,0.29,1,207
24203099,lovely102 Awesome Duplex,182169184,Maria Elena,Casco Antiguo,San Gil,37.40206,-5.99099,Entire home/apt,109,1,80,2019-09-26,4.44,11,113
24206197,Lovely113 Awesome Duplex,182169184,Maria Elena,Casco Antiguo,San Gil,37.40224,-5.99092,Entire home/apt,100,1,81,2019-09-16,4.57,11,137
24207003,Lovely101 Awesome Duplex,182169184,Maria Elena,Casco Antiguo,San Gil,37.40206,-5.99091,Entire home/apt,107,1,66,2019-09-11,3.71,11,127
24207685,Saborea la esencia de Sevilla en este magnífico dúplex en edificio histórico,182169184,Maria Elena,Casco Antiguo,San Gil,37.40225,-5.99288,Entire home/apt,100,1,65,2019-09-24,3.65,11,122
24217068,AlohaMundi Relator III,118796113,Pepe Y Maru,Casco Antiguo,Feria,37.4,-5.99022,Entire home/apt,185,2,25,2019-08-11,1.62,48,4
24221473,ETERNAL SEVILLA CENTRO O'DONNELL 1º PARKING  OPC,177483494,Fran,Casco Antiguo,Alfalfa,37.39113,-5.9964,Entire home/apt,85,2,1,2019-04-15,0.18,5,201
24228960,Terraza Tailandia,104654818,Mar,Casco Antiguo,Museo,37.39138,-5.99987,Entire home/apt,90,1,56,2019-09-20,3.23,4,319
24229243,Suite Bali,104654818,Mar,Casco Antiguo,Museo,37.39287,-6.00153,Entire home/apt,90,1,25,2019-09-26,2.12,4,342
24237436,Apartamento en el Museo. 1º,167883524,A-Consulting,Casco Antiguo,San Vicente,37.39414,-6.00098,Entire home/apt,90,1,12,2019-09-25,1.50,2,91
24238894,Apartamento centro sevilla 四.,76132488,Yanyang,Casco Antiguo,Feria,37.39619,-5.98873,Entire home/apt,65,1,47,2019-09-06,2.85,6,70
24240792,150 m2. zona CENTRO en barrio peatonal. Wifi.,111166190,Cayetana,Nervión,La Florida,37.38621,-5.98371,Entire home/apt,140,1,22,2019-06-02,1.25,1,71
24244247,Habitacion doble muy confortable y luminosa.,71655464,Matilde,Palmera - Bellavista,"Pedro Salvador, Las Palmeritas",37.35489,-5.97788,Private room,35,2,3,2019-05-12,0.24,3,272
24244769,Luminoso y cómodo a 5 min del centro.,14958822,Nacho,Triana,Triana Este,37.37945,-6.00003,Entire home/apt,277,1,75,2019-09-25,4.30,59,130
24254210,Casa El Higuerón 8 personas (VFT/SE/3540),7222663,María,Macarena - Norte,La Bachillera,37.43092,-5.97574,Entire home/apt,95,3,16,2019-09-29,0.92,9,263
24258107,"Luminoso 2 BR apartment, 300 metros de Catedral",6588832,Jose Luis,Casco Antiguo,Arenal,37.38761,-5.99619,Entire home/apt,90,2,112,2019-09-17,6.35,17,152
24259762,Un lugar donde descansar,181463733,María Begoña,Macarena,Campos de Soria,37.4058,-5.97136,Private room,20,1,41,2018-10-01,2.28,2,59
24260229,HABITACIÓN CON BAÑO A ORILLAS DEL GUADALQUIVIR,35972283,Manuel,Triana,Triana Casco Antiguo,37.38401,-6.00038,Private room,50,1,14,2018-11-04,0.78,1,0
24261543,Triana centro VII,112643042,Mariluz,Triana,Triana Oeste,37.38512,-6.00647,Private room,100,1,107,2019-09-26,5.99,8,78
24262355,Triana centro VI,112643042,Mariluz,Triana,Triana Oeste,37.38443,-6.00594,Private room,100,1,106,2019-09-28,5.96,8,77
