id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
24368868,Villa Sunrise,14113470,Solmar Villas,,Alaior,39.90257,4.07439,Entire home/apt,449,7,1,2019-07-12,0.37,98,0
24368969,Villa Manoli,14113470,Solmar Villas,,Sant Lluís,39.81194,4.26994,Entire home/apt,96,7,0,,,98,14
24369047,Can Caules,14113470,Solmar Villas,,Alaior,39.90364,4.07259,Entire home/apt,348,7,1,2018-05-03,0.06,98,155
24369073,Villa Es Mirador,14113470,Solmar Villas,,Alaior,39.90528,4.07191,Entire home/apt,266,7,0,,,98,116
24369287,Villa Addaia,14113470,Solmar Villas,,Ferreries,39.93524,3.9608,Entire home/apt,340,7,0,,,98,136
24369447,Villa Sonia,14113470,Solmar Villas,,Ciutadella de Menorca,40.00485,3.80604,Entire home/apt,286,7,1,2019-04-20,0.18,98,154
24369527,Villa Gabriel,14113470,Solmar Villas,,Sant Lluís,39.81337,4.26847,Entire home/apt,250,7,0,,,98,151
24369570,Villa Poppy,14113470,Solmar Villas,,Sant Lluís,39.82594,4.23262,Entire home/apt,271,7,1,2019-04-27,0.19,98,138
24369620,Villa Las Palmeras,14113470,Solmar Villas,,Sant Lluís,39.81846,4.2404,Entire home/apt,304,7,0,,,98,157
24369639,Villa Nikita,14113470,Solmar Villas,,Alaior,39.90509,4.06818,Entire home/apt,262,7,0,,,98,165
24369718,Villa Maite,14113470,Solmar Villas,,Sant Lluís,39.81916,4.24104,Entire home/apt,251,7,0,,,98,80
24369773,Villa Marismas Sombra,14113470,Solmar Villas,,Alaior,39.91001,4.06711,Entire home/apt,209,7,0,,,98,96
24370118,Villa Carmela,14113470,Solmar Villas,,Ciutadella de Menorca,39.94281,3.96064,Entire home/apt,247,7,0,,,98,151
24370133,Casa Macarella,14113470,Solmar Villas,,Ferreries,39.93433,3.96111,Entire home/apt,343,7,0,,,98,115
24370158,Villa Juanita,14113470,Solmar Villas,,Alaior,39.90683,4.0695,Entire home/apt,258,7,0,,,98,157
24370180,Villa Betty,14113470,Solmar Villas,,Ciutadella de Menorca,40.00504,3.80565,Entire home/apt,289,7,0,,,98,143
24370223,Villa Adelfa,14113470,Solmar Villas,,Ciutadella de Menorca,39.93101,3.82387,Entire home/apt,226,7,0,,,98,144
24370463,Villa Karina,14113470,Solmar Villas,,Sant Lluís,39.82552,4.23439,Entire home/apt,288,7,1,2019-05-03,0.20,98,119
24370507,Villa Maricel,14113470,Solmar Villas,,Sant Lluís,39.81951,4.23611,Entire home/apt,350,7,0,,,98,158
24370709,Villa Verde,14113470,Solmar Villas,,Ciutadella de Menorca,40.01184,3.84098,Entire home/apt,324,7,1,2019-09-19,1,98,119
24370726,Villa Conchita,14113470,Solmar Villas,,Alaior,39.90514,4.0681,Entire home/apt,259,7,1,2019-05-05,0.20,98,162
24370728,Villa Marismas Sol,14113470,Solmar Villas,,Alaior,39.90937,4.06775,Entire home/apt,209,7,1,2018-07-20,0.07,98,111
24370750,Villa Rosemary,14113470,Solmar Villas,,Sant Lluís,39.81635,4.25899,Entire home/apt,313,7,1,2019-05-01,0.20,98,129
24370769,Villa Datil,14113470,Solmar Villas,,Es Mercadal,40.02223,4.18893,Entire home/apt,260,7,0,,,98,144
24370857,Villa El Jardin,14113470,Solmar Villas,,Alaior,39.91084,4.06784,Entire home/apt,244,7,2,2019-08-09,0.12,98,115
24370896,Bini Fleur,14113470,Solmar Villas,,Sant Lluís,39.82469,4.2334,Entire home/apt,255,7,0,,,98,88
24373658,"ROOM AT VILLA PARADISO, CALA EN PORTER",183943644,Massimo,,Alaior,39.87844,4.13557,Private room,75,1,25,2019-09-15,1.59,1,269
24383176,Bonito apartamento en complejo residencial,184036256,Angela,,Ciutadella de Menorca,39.97564,3.84084,Entire home/apt,60,3,7,2019-08-11,0.49,1,31
24399941,Apartamento luminoso y acogedor con piscina,181996581,Silvia,,Ciutadella de Menorca,40.00546,3.81486,Entire home/apt,30,3,17,2019-09-14,1.09,1,0
24401698,Casa con vistas en Fornells 2 hab,183861388,Clara,,Es Mercadal,40.05832,4.13314,Entire home/apt,120,5,10,2019-09-23,0.62,2,180
24411349,"Casa Menorca, 2 bedroom apartment, Cala en Porter",184291271,Lana,,Alaior,39.87224,4.13708,Entire home/apt,62,5,11,2019-09-20,0.71,1,319
24432195,★Villa Gum ★ private Pool★Free AC& WiFi★,105711740,3Villas Menorca,,Ciutadella de Menorca,39.93089,3.8273,Entire home/apt,100,7,3,2019-09-21,1.00,68,25
24432456,★Casa Juana★ small lovely pool★Free AC & WiFi★,105711740,3Villas Menorca,,Ciutadella de Menorca,39.92933,3.83093,Entire home/apt,90,7,8,2019-09-14,2.02,68,19
24436742,litel hausse  ground floor,161938122,Consuelo,,Es Mercadal,40.05039,4.10908,Entire home/apt,60,6,8,2018-10-26,0.51,1,0
24447024,Los Delfines 160,163377739,Miguel - Interhome,,Ciutadella de Menorca,39.99968,3.80281,Entire home/apt,165,1,3,2019-07-09,0.24,6,318
24447026,Los Delfines 161,163377739,Miguel - Interhome,,Ciutadella de Menorca,40.00094,3.8045,Entire home/apt,165,1,0,,,6,354
24464770,Céntrico apartamento en Ciudadela,115890378,Elena,,Ciutadella de Menorca,39.99876,3.83667,Entire home/apt,35,2,31,2019-09-15,2.09,2,316
24466610,Apartamento 1 dormitorio,183655373,Apartamentos,,Es Mercadal,40.02447,4.18752,Entire home/apt,35,1,19,2019-09-20,1.18,3,7
24468093,Apartamento de 2 dormitorios,183655373,Apartamentos,,Es Mercadal,40.02478,4.18768,Entire home/apt,45,1,12,2019-08-24,0.72,3,14
24469813,Apartamento estudio,183655373,Apartamentos,,Es Mercadal,40.02363,4.18906,Entire home/apt,28,1,1,2019-07-27,0.45,3,136
24490920,Near the beach with communal pool - Apartment Costa Arenal 45,168692752,Bookiply,,Es Mercadal,40.02325,4.17773,Entire home/apt,85,1,5,2019-09-17,0.34,31,365
24490926,Apartment with communal pool - Costa Arenal 15,168692752,Bookiply,,Es Mercadal,40.02307,4.17758,Entire home/apt,85,1,2,2019-07-19,0.15,31,365
24490943,"Near the beach, with a communal pool - Apartment Costa Arenal 23",168692752,Bookiply,,Es Mercadal,40.02328,4.17792,Entire home/apt,85,1,0,,,31,365
24505781,Villa con vistas al mar en Menorca,185124476,PIa,,Sant Lluís,39.82863,4.22686,Entire home/apt,450,5,1,2018-06-29,0.07,1,179
24510944,Villa Binigo,159933359,Mateu,,Sant Lluís,39.82292,4.23228,Entire home/apt,196,1,0,,,8,30
24516436,Charming house at 200 m from the sea,33129963,Karine,,Ciutadella de Menorca,39.92644,3.8244,Entire home/apt,90,5,14,2019-09-10,0.97,1,343
24516968,Villa Bon Sol- 500m to beach,105711740,3Villas Menorca,,Ciutadella de Menorca,39.92664,3.83267,Entire home/apt,70,7,5,2019-09-21,1.72,68,15
24517256,"Authentic Menorcan home, perfect location",10449184,HFL & Karla Brown,,Es Castell,39.85174,4.27584,Entire home/apt,300,4,0,,,4,87
24520907,Carmen - 115-1,163377739,Miguel - Interhome,,Es Mercadal,40.02707,4.18567,Entire home/apt,321,1,1,2019-06-02,0.25,6,91
24520908,Ullastres - 112-1,163377739,Miguel - Interhome,,Es Mercadal,40.02596,4.18458,Entire home/apt,201,1,0,,,6,180
24521762,Habitación con desayuno en Sant Lluís,33357531,Charo,,Sant Lluís,39.85145,4.25638,Private room,30,1,44,2019-09-08,2.63,1,24
24533901,Fornells con vistas al mar,180869219,Sara,,Es Mercadal,40.05176,4.12913,Entire home/apt,63,4,10,2019-09-12,0.64,1,166
24538826,"Apartamento con piscina en Son Blanc, Ciutadella",22162797,Josep,,Ciutadella de Menorca,39.98344,3.83305,Entire home/apt,50,5,20,2019-09-23,1.29,1,270
24540635,Dormitorio 2 camas individuales con baño privado,47088859,Maria,,Ciutadella de Menorca,40.00305,3.84755,Private room,52,6,6,2018-09-12,0.40,2,118
