id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22873410,Beautiful one bedroom apartment with communal swimming-pool.,95241002,Josep Maria,,Castelló d'Empúries,42.25474,3.10791,Entire home/apt,59,1,0,,,47,64
22873411,Beautiful one bedroom appartment with comunitary swiming-pool,95241002,Josep Maria,,Castelló d'Empúries,42.25435,3.10679,Entire home/apt,59,1,0,,,47,64
22873415,Beautiful one bedroom appartment with comunitary swiming-pool,95241002,Josep Maria,,Castelló d'Empúries,42.2565,3.10683,Entire home/apt,59,1,0,,,47,64
22873418,Beautiful one bedroom appartment with comunitary swiming-pool,95241002,Josep Maria,,Castelló d'Empúries,42.2545,3.10702,Entire home/apt,59,1,0,,,47,64
22873421,Beautiful one bedroom appartment with comunitary swiming-pool,95241002,Josep Maria,,Castelló d'Empúries,42.25629,3.10795,Entire home/apt,59,1,0,,,47,64
22873424,Beautiful one bedroom appartment with comunitary swiming-pool,95241002,Josep Maria,,Castelló d'Empúries,42.254,3.10772,Entire home/apt,59,1,0,,,47,64
22873425,Beautiful one bedroom appartment with comunitary swiming-pool,95241002,Josep Maria,,Castelló d'Empúries,42.25498,3.10808,Entire home/apt,59,1,3,2019-06-02,0.24,47,64
22873427,Beautiful one bedroom appartment with comunitary swiming-pool,95241002,Josep Maria,,Castelló d'Empúries,42.25398,3.10784,Entire home/apt,59,1,0,,,47,64
22873428,Beautiful one bedroom appartment with comunitary swiming-pool,95241002,Josep Maria,,Castelló d'Empúries,42.25667,3.1065,Entire home/apt,59,1,0,,,47,64
22873431,Beautiful one bedroom appartment with comunitary swiming-pool,95241002,Josep Maria,,Castelló d'Empúries,42.25612,3.10834,Entire home/apt,59,1,0,,,47,64
22873432,Beautiful one bedroom appartment with comunitary swiming-pool,95241002,Josep Maria,,Castelló d'Empúries,42.2548,3.10664,Entire home/apt,59,1,0,,,47,64
22873436,Beautiful one bedroom appartment with comunitary swiming-pool,95241002,Josep Maria,,Castelló d'Empúries,42.25621,3.10649,Entire home/apt,59,1,0,,,47,64
22873438,Beautiful one bedroom appartment with comunitary swiming-pool,95241002,Josep Maria,,Castelló d'Empúries,42.25434,3.10825,Entire home/apt,59,1,0,,,47,64
22873441,Beautiful one bedroom appartment with comunitary swiming-pool,95241002,Josep Maria,,Castelló d'Empúries,42.25421,3.10678,Entire home/apt,59,1,1,2018-08-15,0.07,47,64
22873444,Beautiful one bedroom appartment with comunitary swiming-pool,95241002,Josep Maria,,Castelló d'Empúries,42.2548,3.10652,Entire home/apt,59,1,0,,,47,64
22873447,Beautiful one bedroom appartment with comunitary swiming-pool,95241002,Josep Maria,,Castelló d'Empúries,42.25538,3.10794,Entire home/apt,59,1,1,2018-07-08,0.07,47,64
22873448,Beautiful one bedroom appartment with comunitary swiming-pool,95241002,Josep Maria,,Castelló d'Empúries,42.25427,3.10829,Entire home/apt,59,1,3,2019-09-08,0.19,47,64
22873507,Beautiful one bedroom appartment with comunitary swiming-pool,95241002,Josep Maria,,Castelló d'Empúries,42.25437,3.10854,Entire home/apt,59,1,0,,,47,64
22873509,Beautiful three bedroom apartment with communal swimming-pool.,95241002,Josep Maria,,Castelló d'Empúries,42.25633,3.10827,Entire home/apt,120,1,2,2019-08-16,0.14,47,50
22873511,Beautiful one bedroom appartment with comunitary swiming-pool,95241002,Josep Maria,,Castelló d'Empúries,42.2563,3.10711,Entire home/apt,59,1,0,,,47,64
22873515,Beautiful two bedroom apartment with communal swimming-pool.,95241002,Josep Maria,,Castelló d'Empúries,42.25631,3.1085,Entire home/apt,74,1,1,2018-04-29,0.06,47,50
22873517,Beautiful two bedroom appartment with comunitary swiming-pool,95241002,Josep Maria,,Castelló d'Empúries,42.25448,3.10805,Entire home/apt,74,1,0,,,47,62
22873518,Beautiful three bedroom apartment with communal swimming-pool.,95241002,Josep Maria,,Castelló d'Empúries,42.2564,3.10715,Entire home/apt,110,1,2,2018-11-02,0.14,47,62
22873519,Beautiful two bedroom appartment with comunitary swiming-pool,95241002,Josep Maria,,Castelló d'Empúries,42.25625,3.10775,Entire home/apt,74,1,1,2018-08-30,0.08,47,64
22873522,Beautiful two bedroom appartment with communal swimming-pool.,95241002,Josep Maria,,Castelló d'Empúries,42.2551,3.10666,Entire home/apt,85,1,6,2019-07-28,0.42,47,56
22873524,Beautiful one bedroom appartment with comunitary swiming-pool,95241002,Josep Maria,,Castelló d'Empúries,42.25404,3.10635,Entire home/apt,59,1,1,2019-09-08,1,47,64
22873525,Beautiful one bedroom appartment with comunitary swiming-pool,95241002,Josep Maria,,Castelló d'Empúries,42.25481,3.10672,Entire home/apt,59,1,1,2018-08-05,0.07,47,56
22873527,Beautiful two bedroom appartment with comunitary swiming-pool,95241002,Josep Maria,,Castelló d'Empúries,42.25557,3.10663,Entire home/apt,74,1,1,2019-04-21,0.18,47,55
22873528,Beautiful two bedroom appartment with comunitary swiming-pool,95241002,Josep Maria,,Castelló d'Empúries,42.25588,3.10642,Entire home/apt,74,1,0,,,47,62
22873532,Beautiful one bedroom appartment with comunitary swiming-pool,95241002,Josep Maria,,Castelló d'Empúries,42.25598,3.10852,Entire home/apt,59,1,0,,,47,64
22873536,Beautiful one bedroom appartment with comunitary swiming-pool,95241002,Josep Maria,,Castelló d'Empúries,42.25536,3.1082,Entire home/apt,59,1,1,2018-08-22,0.07,47,64
22873571,Beautiful two bedroom appartment with comunitary swiming-pool,95241002,Josep Maria,,Castelló d'Empúries,42.25467,3.10776,Entire home/apt,74,1,0,,,47,59
22873581,Beautiful two bedroom appartment with comunitary swiming-pool,95241002,Josep Maria,,Castelló d'Empúries,42.2549,3.10706,Entire home/apt,74,1,0,,,47,64
22873583,Beautiful one bedroom appartment with comunitary swiming-pool,95241002,Josep Maria,,Castelló d'Empúries,42.25433,3.10678,Entire home/apt,59,1,0,,,47,64
22873584,Beautiful one bedroom appartment with comunitary swiming-pool,95241002,Josep Maria,,Castelló d'Empúries,42.25584,3.10638,Entire home/apt,59,1,1,2019-06-02,0.25,47,64
22873587,Beautiful two bedroom appartment with comunitary swiming-pool,95241002,Josep Maria,,Castelló d'Empúries,42.25647,3.1075,Entire home/apt,74,1,0,,,47,62
22873588,Beautiful two bedroom appartment with comunitary swiming-pool,95241002,Josep Maria,,Castelló d'Empúries,42.25548,3.1078,Entire home/apt,74,1,0,,,47,64
22873589,Beautiful two bedroom appartment with comunitary swiming-pool,95241002,Josep Maria,,Castelló d'Empúries,42.25591,3.10706,Entire home/apt,74,1,1,2019-08-04,0.51,47,64
22873590,Beautiful two bedroom appartment with comunitary swiming-pool,95241002,Josep Maria,,Castelló d'Empúries,42.2554,3.10861,Entire home/apt,65,1,0,,,47,1
22873593,Beautiful one bedroom appartment with communal swimming-pool.,95241002,Josep Maria,,Castelló d'Empúries,42.25436,3.1077,Entire home/apt,50,1,1,2019-08-23,0.77,47,1
22873595,Beautiful two bedroom appartment with comunitary swiming-pool,95241002,Josep Maria,,Castelló d'Empúries,42.25453,3.10726,Entire home/apt,65,1,1,2019-08-18,0.67,47,3
