id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
33701957,Amazing house with terrace & Wifi,142982314,"Loic, Estelle & Co",Vizcaya,Gamiz-Fika,43.30481,-2.80934,Entire home/apt,452,1,0,,,8,365
33702807,Central sofa bed,212767836,Luis,Vizcaya,Bilbao,43.25847,-2.91759,Private room,15,1,37,2019-09-30,6.53,3,76
33704938,Satarka   Muy cerca del centro en zona tranquila.,117422992,Basquenjoy S.L.,Guipuzcoa,Hondarribia,43.36525,-1.79418,Entire home/apt,95,2,3,2019-07-25,0.54,20,92
33714580,Tiny but cozy full apartment,219446621,Florent,Guipuzcoa,Hernani,43.26703,-1.97973,Entire home/apt,35,3,9,2019-09-13,1.81,1,0
33714683,Casa acogedora y de moderno diseño en La Bilbaina.,64517499,Silvia,Vizcaya,Mungai,43.32317,-2.8538,Entire home/apt,380,3,8,2019-08-18,1.95,1,26
33717086,Calma en puro centro,234120729,Ana Belén,Vizcaya,Bilbao,43.26744,-2.9338,Private room,160,2,3,2019-07-14,0.55,1,89
33729305,Habitacion bien situada,167067010,Elena,Vizcaya,Portugalete,43.32389,-3.02603,Private room,23,2,5,2019-09-19,1.88,2,321
33731975,Bonito y cómodo piso en el centro,91896086,Jesus,Ãlava,Vitoria-Gasteiz,42.84389,-2.66842,Entire home/apt,280,1,1,2019-05-20,0.22,1,0
33741508,Nuevo y acogedor apartamento ESS02195,23677291,Judith,Guipuzcoa,Donostia-San Sebastian,43.31833,-1.96875,Entire home/apt,120,2,22,2019-09-24,4.07,1,240
33743142,"Habitación privada, cama doble,  3min de la playa",254355480,Christian,Guipuzcoa,Donostia-San Sebastian,43.32208,-1.97378,Private room,34,1,12,2019-05-29,2.11,1,0
33743932,Apartamento junto al Palacio de Congresos Europa.,6472069,Jorge,Ãlava,Vitoria-Gasteiz,42.85166,-2.68378,Entire home/apt,80,3,5,2019-09-06,0.93,1,0
33761682,Newly refurbished flat in San Sebastian (Antiguo),2046373,Denise,Guipuzcoa,Donostia-San Sebastian,43.30708,-2.00764,Entire home/apt,90,2,33,2019-09-24,6.15,1,245
33763409,KRESALA - Basque Stay,102583389,Basque Stay,Guipuzcoa,Donostia-San Sebastian,43.3137,-1.98026,Entire home/apt,91,2,11,2019-09-07,2.95,58,345
33764899,Santurtzi Casa Barrio Pescadores,254531208,Iratxe,Vizcaya,Santurtzi,43.33133,-3.03732,Entire home/apt,70,1,49,2019-09-18,8.80,1,322
33765665,Luminoso Atico en San-Sebastián,254534543,Joseba,Guipuzcoa,Donostia-San Sebastian,43.31545,-1.97156,Entire home/apt,90,1,45,2019-09-30,8.28,1,127
33774304,"Habitación doble baño privado desayuno
Parking",177607111,Josemari,Guipuzcoa,Donostia-San Sebastian,43.30635,-1.96401,Private room,55,2,11,2019-09-15,2.04,2,38
33775976,"ÁTICO GROS, 6 pax. (Welcome breakfast)",230227560,Menchu,Guipuzcoa,Donostia-San Sebastian,43.32317,-1.96969,Entire home/apt,184,2,21,2019-09-29,5.00,1,173
33776541,Es una habitacion cerca del guggenheim y metro....,254616069,Hilda,Vizcaya,Bilbao,43.26949,-2.94883,Private room,55,1,14,2019-08-24,2.82,2,180
33777621,Habitacion doble con baño privado. Desayuno,177607111,Josemari,Guipuzcoa,Donostia-San Sebastian,43.3064,-1.9626,Private room,55,2,17,2019-09-23,3.38,2,40
33778854,Acogedor y tranquilo loft a 10 min del centro,16876087,Eider,Guipuzcoa,Donostia-San Sebastian,43.28814,-1.98283,Entire home/apt,80,3,11,2019-09-24,3.67,1,345
33788571,Precioso apartamento a 100 m. de la playa,130949215,Rafael,Vizcaya,Getxo,43.35357,-3.01432,Entire home/apt,90,3,4,2019-08-24,1.40,2,10
33789589,Mirador Nervion H.Velázquez,242323836,Miguel,Vizcaya,Portugalete,43.31841,-3.01657,Private room,35,1,17,2019-08-22,3.11,3,169
33792916,Villa La Embajada  ( Garage ),254973040,Ben,Guipuzcoa,Donostia-San Sebastian,43.31693,-2.00533,Entire home/apt,375,2,3,2019-07-07,0.55,2,1
33797207,Apartamento de carácter farmhouse moderno by S@H!,208200792,Stay At Home,Vizcaya,Bilbao,43.2557,-2.92569,Entire home/apt,75,1,35,2019-09-25,6.44,6,213
